feature,media_treino,media_teste,KS,p,alerta
ips_pct,0.501,0.506,0.3,3.3872764444130786e-26,SHIFT
defasagem,-0.892,-0.59,0.169,7.875472167000416e-09,
iaa_pct,0.516,0.513,0.151,3.158129855136484e-06,
idade_rel_fase_ideal,0.232,0.038,0.15,4.5660106608063637e-07,
iaa_nao_respondeu,0.032,0.179,0.147,7.594415439003898e-07,
tempo_casa,1.593,1.71,0.111,0.00043296613223422917,
ida_pct,0.553,0.526,0.082,0.02381009613974032,
tamanho_turma,12.278,12.864,0.081,0.022086352493138544,
ieg_pct,0.57,0.542,0.076,0.04550427972438248,
rede_publica,0.842,0.768,0.074,0.04993671621435137,
fase_ideal_num,2.842,3.103,0.07,0.07002027729196748,
ipv_pct,0.552,0.528,0.057,0.22702337704925168,
genero_f,0.522,0.542,0.021,0.9978449376147709,
